"filename", "language", "JSON", "JavaScript", "CSS", "Markdown", "SCSS", "HTML", "JavaScript JSX", "XML", "comment", "blank", "total"
"d:\JUSTIN\CODE\chlm\chlm2023\frontend\src\pages\Landing.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 22, 0, 8, 9, 39
"d:\JUSTIN\CODE\chlm\chlm2023\frontend\src\pages\Materials\Materials.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 10, 0, 0, 2, 12
"d:\JUSTIN\CODE\chlm\chlm2023\frontend\src\pages\Materials\Materials.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\JUSTIN\CODE\chlm\chlm2023\frontend\src\pages\user\Login.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 84, 0, 9, 15, 108
"d:\JUSTIN\CODE\chlm\chlm2023\frontend\src\pages\user\Register.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 246, 0, 11, 26, 283
"d:\JUSTIN\CODE\chlm\chlm2023\frontend\src\pages\user\dashboard\CarportsDashboard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 8, 0, 0, 1, 9
"d:\JUSTIN\CODE\chlm\chlm2023\frontend\src\pages\user\dashboard\CostCalculator.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 609, 0, 39, 67, 715
"d:\JUSTIN\CODE\chlm\chlm2023\frontend\src\pages\user\dashboard\CostCalculatorPrint.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 283, 0, 12, 24, 319
"d:\JUSTIN\CODE\chlm\chlm2023\frontend\src\pages\user\dashboard\Dashboard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 61, 0, 4, 6, 71
"d:\JUSTIN\CODE\chlm\chlm2023\frontend\src\pages\user\dashboard\DeliveriesDashboard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 894, 0, 115, 97, 1106
"d:\JUSTIN\CODE\chlm\chlm2023\frontend\src\pages\user\dashboard\DeliverySummary.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 276, 0, 15, 30, 321
"d:\JUSTIN\CODE\chlm\chlm2023\frontend\src\pages\user\dashboard\DriversDashboard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 270, 0, 23, 37, 330
"d:\JUSTIN\CODE\chlm\chlm2023\frontend\src\pages\user\dashboard\HaulSummary.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 520, 0, 26, 59, 605
"d:\JUSTIN\CODE\chlm\chlm2023\frontend\src\pages\user\dashboard\HaulsDashboard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 576, 0, 58, 80, 714
"d:\JUSTIN\CODE\chlm\chlm2023\frontend\src\pages\user\dashboard\MaterialsDashboard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 421, 0, 20, 42, 483
"d:\JUSTIN\CODE\chlm\chlm2023\frontend\src\pages\user\dashboard\VendorsDashboard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 38, 0, 3, 5, 46
"d:\JUSTIN\CODE\chlm\chlm2023\frontend\src\pages\user\dashboard\WaitList.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 369, 0, 7, 38, 414
"d:\JUSTIN\CODE\chlm\chlm2023\frontend\src\reportWebVitals.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"d:\JUSTIN\CODE\chlm\chlm2023\frontend\src\setupTests.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 4, 1, 6
"d:\JUSTIN\CODE\chlm\chlm2023\frontend\src\styles\_colors.scss", "SCSS", 0, 0, 0, 0, 9, 0, 0, 0, 1, 2, 12
"d:\JUSTIN\CODE\chlm\chlm2023\frontend\src\styles\user\Register.module.css", "CSS", 0, 0, 11, 0, 0, 0, 0, 0, 0, 3, 14
"d:\JUSTIN\CODE\chlm\chlm2023\package-lock.json", "JSON", 3021, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3022
"d:\JUSTIN\CODE\chlm\chlm2023\package.json", "JSON", 37, 0, 0, 0, 0, 0, 0, 0, 0, 1, 38
"Total", "-", 32650, 4868, 11, 26, 2082, 20, 20153, 11, 2300, 3219, 65340
